Date,Position,Company,Type,Qualifications,Role
2/6/2026,Software Engineer,Canonical,Remote ,"Professional experience as a software engineer 
Background in Computer Science, STEM or similar
Strong experience with Linux, OpenStack, Kubernetes or other cloud technologies
Strong development-level experience with Python, Go, C, C++ on Linux
Ability to troubleshoot with gdb and other tools
Familiarity with git source code repositories and branches
An exceptional academic track record from both high school and preferably university
Willingness to travel up to 4 times a year for internal events","Resolving complex customer problems related to Ubuntu, OpenStack, or Kubernetes and other open source software
Maintaining a close working relationship with Canonical's field, support and product engineering teams
Participating in upstream communities
Developing fixes, backporting patches, and working with upstream for inclusion
Reviewing code produced by other engineers
Demonstrating good judgement in technical methods and techniques"
2/6/2026,Software Engineer ,Canonical,Remote ,"Professional or academic software delivery using Python
Exceptional academic track record from both high school and university
Undergraduate degree in a technical subject or a compelling narrative about your alternative chosen path
Confidence to respectfully speak up, exchange feedback, and share ideas without hesitation
Track record of going above-and-beyond expectations to achieve outstanding results
Passion for technology evidenced by personal projects and initiatives
The work ethic and confidence to shine alongside motivated colleagues
Professional written and spoken English with excellent presentation skills
Experience with Linux (Debian or Ubuntu preferred) ","Develop your understanding of the entire Linux stack, from kernel, networking, and storage, to the application layer
Design, build and maintain solutions that will be deployed on public and private clouds and local workstations
Master distributed systems concepts such as observability, identity, tracing
Work with both Kubernetes and machine-oriented open source applications"
2/6/2026,Software Support Engineer,Canonical,Remote ,"An exceptional academic track record
Background in Computer Science, STEM or similar
Experience with Linux and open source software
Experience with at least one of Python, Go, C or C++ on Linux
A drive to learn unfamiliar technology and deep-dive difficult issues
Willingness to travel up to 4 times a year for internal events
","Resolve complex customer problems related to Ubuntu, Kernel, Ceph, OpenStack, or Kubernetes and other open source software
Maintain a close working relationship with Canonical's Field, Support and product engineering teams
Participate in upstream communities
Develop bug fixes, backport patches, and work with upstream for inclusion
Review code produced by other engineers
Demonstrate good judgment in technical methods and techniques"
2/6/2026,Software Engineer,Canonical,Remote ,"An exceptional academic track record
Undergraduate degree in Computer Science or STEM, or a compelling narrative about your alternative path
Drive and a track record of going above-and-beyond expectations
Knowledge of networking: architecture, design, and protocols
Understanding of Linux networking, from kernel to user space
Fluency in C/C++ and at least one of Rust, Python or Golang
Professional written and spoken English 
Experience with Linux","Work with the most advanced operating systems and network application technologies available
Participate upstream and deliver the Ubuntu SoNIC stack
Collaborate with public clouds and network silicon providers
Design and implement the best software-defined networking experience for the data center
Write high-quality, well-designed, fast, secure and well-documented software
Debug issues and produce high-quality fixes
Collaborate proactively with a globally distributed organization"
2/6/2026,Software Engineer,Canonical,Remote ,"You love technology and working with brilliant people
You have a Bachelor’s or equivalent in Computer Science, STEM or similar degree
You are experienced with Linux systems administration, package management, and operations
You have hands-on experience with at least one public cloud
You are familiar with Docker and Kubernetes
You are an experienced Python programmer and enjoy challenging projects","Work in Python to design and deliver open source software operations code
Work across the entire Linux stack, from kernel, networking, storage, to applications
Learn to think rigorously about application and infrastructure reliability
Shape high quality open source monitoring and alerting infrastructure
Simplify open source operations for our customers and open source community
Demonstrate sound engineering design and testing principles in your code
Follow agile software development practices
Coach and develop your colleagues where you have insights"
2/2/2026,Ubuntu Software Engineer,Canonical,Remote ,"An exceptional academic track record from both high school and university
Undergraduate degree in Computer Science or STEM, or a compelling narrative about your alternative path
Drive and a track record of going above and beyond expectations
A passion for open source software
Experience with Rust, Go, Python, Flutter or C/C++","Designing, building and shipping software in Rust, Go, Python and C/C++
Packaging, integrating, testing and uploading open source software to the Ubuntu repositories
Debugging issues, then designing and delivering robust solutions
Authoring and improving technical and community documentation
Contributing to upstream and neighboring open source projects"
2/5/2026,Software Engineer,Canonical,Remote ,"Professional experience as a software engineer 
Background in Computer Science, STEM or similar
Strong experience with Linux, and at least one of the following:
Ceph, OpenStack, Kubernetes or other cloud technologies
Strong development-level experience with at least one of Python, Go, C or C++ on Linux
Ability to troubleshoot with debugging tools like gdb
Familiarity with git source code repositories and branches","Resolving complex customer problems related to Ubuntu, Kernel, Ceph, OpenStack, or Kubernetes and other open source software
Maintaining a close working relationship with Canonical's Field, Support and product engineering teams
Participating in upstream communities
Developing bug fixes, backporting patches, and working with upstream for inclusion
Reviewing code produced by other engineers
Demonstrating good judgement in technical methods and techniques"
2/5/2026,Security Software Engineer,Canonical,Remote ,"An exceptional academic track record from both high school and university
Undergraduate degree in Computer Science or STEM, or a compelling narrative about your alternative path
A track record of going above and beyond expectations
Thorough understanding of the common categories of security vulnerabilities and how to fix them
Knowledge of modern software engineering techniques
Familiarity with open source development tools and methodologies 
Skill in one or more of C, C++, Python, Go, Rust, Java, Ruby, PHP, or JavaScript/Typescript
Experience as a security champion
Experience driving security within a wider SSDLC process 
Professional written and spoken English 
Experience with Linux (Debian or Ubuntu preferred) ","Define, implement, and document new security features 
Lead security-focused initiatives within a product engineering team
Analyze, fix, and test vulnerabilities in open source software
Contribute to Ubuntu and upstream open source projects to benefit the community 
Audit and analyze source code for vulnerabilities 
Integrate new tools into our security infrastructure, pipelines, and processes
Achieve and retain various security certifications 
Extend and enhance Linux cryptographic components to meet country-specific compliance requirements, such as FIPS and Common Criteria (CC) certifications
Work with external partners to develop Center for Internet Security (CIS) benchmarks
Design and develop hardening automation for Ubuntu 
Stay up to date with trends and developments in the security industry
Develop, test, and maintain new software capabilities "
1/16/2026,Senior Angular Developer,TECEZE,Onsite,"Strong command of Angular CLI for scaffolding, building, and optimization.
Experience with monorepo tools like Nx for large-scale workspaces.
Knowledge of build tools (Vite/Webpack) and performance optimization techniques.
Proficiency in Angular Material (preferred) or alternatives like PrimeNG, Syncfusion, Kendo UI, or NG-ZORRO for reusable, accessible components.
Advanced knowledge of RxJS for handling asynchronous operations, observables, subjects, and operators.","Design, develop, and maintain large-scale single-page applications (SPAs) using Angular, ensuring high performance, responsiveness, and accessibility.
Lead architectural decisions for front-end components, including modular design, reusability, and scalability.
Implement advanced features such as lazy loading, dynamic components, server-side rendering (SSR) with Angular Universal, and progressive web app (PWA) capabilities.
Integrate with back-end services via RESTful APIs, GraphQL, or WebSockets, handling authentication, data fetching, and error management.
Manage complex state using reactive patterns and optimize RxJS observables for efficient data streams.
Perform code reviews, mentor junior and mid-level developers, and promote best practices across the team.
Optimize applications for maximum speed, scalability, and SEO, including performance profiling and bundling strategies.
Collaborate with UX/UI designers, back-end developers, and product managers in an Agile environment.
Ensure code quality through unit testing, end-to-end testing, and CI/CD integration.
Stay updated with the latest Angular releases and ecosystem advancements to drive continuous improvement.
"
1/3/2026,Associate Technical Lead - iOS,Sysco LABS ,Hybrid," Bachelor’s Degree in Computer Science or equivalent, and 4+ years of experience developing on native iOS
A passion for iOS and a commitment to building award-winning apps
An expert level understanding of the iOS SDK
Native mobile application development on iOS experience with fluency in Swift, Core, Foundation, UIKit, SwiftUI, Cocoa Touch, Core Animation and other frameworks provided by Apple
Experience with RxSwift, RxCocoa and MVVM is a must
FRP (Functional Reactive Programming) experience with any other framework such as Combine will be advantageous
A strong understanding of Apple’s Human Interface Guidelines as well as interaction design best practices
Experience shipping and maintaining apps, and knowing the ins and outs of Apple’s submission process
A passion for building consumer facing applications with elegant and clean interfaces
Experience developing, testing, shipping and supporting a product for hundreds of thousands of users is a plus
Knowledge on Node.js, GraphQL and Apollo is an added advantage","Working on apps that revolutionize customer interaction at Sysco
Being responsible for driving the development process from conception to release in a cross-functional team in an Agile delivery environment"
